date,open,high,low,close,volume
2023-10-26 00:00:00+05:30,1585.0,1590.65,1558.0,1570.75,118916
2023-10-27 00:00:00+05:30,1579.0,1615.0,1578.95,1611.55,152114
2023-10-30 00:00:00+05:30,1607.0,1615.0,1590.6,1609.15,222473
2023-10-31 00:00:00+05:30,1603.0,1631.2,1603.0,1615.15,102136
2023-11-01 00:00:00+05:30,1625.0,1625.1,1603.65,1606.5,274912
2023-11-02 00:00:00+05:30,1609.75,1619.35,1601.15,1611.95,63190
2023-11-03 00:00:00+05:30,1620.0,1626.0,1606.15,1613.15,206266
2023-11-06 00:00:00+05:30,1616.5,1621.9,1580.75,1589.2,153446
2023-11-07 00:00:00+05:30,1599.95,1601.0,1583.05,1597.4,71852
2023-11-08 00:00:00+05:30,1597.4,1600.0,1577.55,1593.85,107255
2023-11-09 00:00:00+05:30,1603.0,1603.0,1581.0,1586.05,70691
2023-11-10 00:00:00+05:30,1589.9,1589.9,1560.05,1575.25,103919
2023-11-12 00:00:00+05:30,1575.25,1618.8,1575.25,1604.2,69131
2023-11-13 00:00:00+05:30,1610.5,1610.5,1570.0,1573.35,140684
2023-11-15 00:00:00+05:30,1581.6,1584.0,1552.75,1555.9,367664
2023-11-16 00:00:00+05:30,1551.2,1573.05,1547.0,1563.15,305251
2023-11-17 00:00:00+05:30,1563.3,1585.0,1562.35,1583.15,126249
2023-11-20 00:00:00+05:30,1590.0,1590.0,1570.1,1573.4,152421
2023-11-21 00:00:00+05:30,1565.05,1586.6,1565.05,1582.05,125392
2023-11-22 00:00:00+05:30,1592.0,1602.65,1580.05,1597.6,355598
2023-11-23 00:00:00+05:30,1604.95,1610.75,1592.35,1605.3,294322
2023-11-24 00:00:00+05:30,1612.0,1636.5,1579.6,1584.1,409804
2023-11-28 00:00:00+05:30,1589.95,1623.05,1581.0,1612.35,314501
2023-11-29 00:00:00+05:30,1613.2,1653.75,1609.85,1647.45,311376
2023-11-30 00:00:00+05:30,1657.9,1660.8,1638.5,1646.8,175094
2023-12-01 00:00:00+05:30,1650.0,1679.9,1643.15,1672.0,198248
2023-12-04 00:00:00+05:30,1683.0,1708.9,1673.1,1702.0,252596
2023-12-05 00:00:00+05:30,1701.05,1727.4,1687.6,1703.35,286917
2023-12-06 00:00:00+05:30,1705.25,1724.0,1700.6,1713.7,196620
2023-12-07 00:00:00+05:30,1716.5,1733.7,1700.0,1725.0,176678
2023-12-08 00:00:00+05:30,1737.8,1743.45,1711.0,1724.65,159813
2023-12-11 00:00:00+05:30,1725.0,1755.0,1715.0,1749.8,234356
2023-12-12 00:00:00+05:30,1751.8,1769.85,1710.1,1716.35,210867
2023-12-13 00:00:00+05:30,1716.35,1723.35,1681.45,1710.0,329778
2023-12-14 00:00:00+05:30,1715.0,1726.25,1700.0,1715.6,172715
2023-12-15 00:00:00+05:30,1716.55,1722.45,1705.0,1718.1,146023
2023-12-18 00:00:00+05:30,1718.5,1724.1,1698.35,1704.55,251146
2023-12-19 00:00:00+05:30,1709.0,1714.75,1695.0,1696.95,237101
2023-12-20 00:00:00+05:30,1698.95,1762.8,1675.85,1683.55,542638
2023-12-21 00:00:00+05:30,1674.0,1716.0,1663.0,1703.0,161896
2023-12-22 00:00:00+05:30,1708.95,1726.0,1674.1,1684.6,354584
2023-12-26 00:00:00+05:30,1700.0,1714.0,1688.85,1708.95,336099
2023-12-27 00:00:00+05:30,1719.5,1720.05,1692.25,1707.45,147871
2023-12-28 00:00:00+05:30,1717.0,1777.0,1705.55,1751.25,485581
2023-12-29 00:00:00+05:30,1761.4,1789.0,1737.4,1785.15,551866
2024-01-01 00:00:00+05:30,1793.2,1807.95,1772.1,1792.7,364690
2024-01-02 00:00:00+05:30,1791.3,1822.65,1785.0,1812.6,286287
2024-01-03 00:00:00+05:30,1815.0,1841.65,1803.6,1824.95,289694
2024-01-04 00:00:00+05:30,1829.3,1898.1,1829.25,1892.4,490520
2024-01-05 00:00:00+05:30,1906.2,1906.65,1877.4,1888.25,324201
2024-01-08 00:00:00+05:30,1908.0,1908.0,1854.2,1862.8,155055
2024-01-09 00:00:00+05:30,1865.45,1879.2,1811.95,1814.85,444379
2024-01-10 00:00:00+05:30,1814.8,1835.0,1799.9,1812.95,168705
2024-01-11 00:00:00+05:30,1813.0,1824.0,1790.0,1797.95,98554
2024-01-12 00:00:00+05:30,1790.1,1802.2,1778.95,1795.35,209080
2024-01-15 00:00:00+05:30,1796.0,1831.9,1780.4,1825.55,371316
2024-01-16 00:00:00+05:30,1843.0,1843.0,1814.05,1833.85,414883
2024-01-17 00:00:00+05:30,1826.0,1853.1,1813.85,1827.1,316473
2024-01-18 00:00:00+05:30,1827.1,1856.5,1804.45,1843.6,310329
2024-01-19 00:00:00+05:30,1855.0,1855.0,1811.7,1844.8,194333
2024-01-20 00:00:00+05:30,1850.35,1864.15,1821.1,1841.1,145006
2024-01-23 00:00:00+05:30,1840.0,1859.9,1823.65,1841.5,406350
2024-01-24 00:00:00+05:30,1855.85,1884.8,1823.05,1876.7,333305
2024-01-25 00:00:00+05:30,1862.0,1890.0,1836.0,1842.25,299148
2024-01-29 00:00:00+05:30,1851.0,1851.0,1795.95,1801.7,219353
2024-01-30 00:00:00+05:30,1806.3,1820.0,1792.7,1795.3,45370
2024-01-31 00:00:00+05:30,1804.95,1812.0,1794.05,1808.1,90597
2024-02-01 00:00:00+05:30,1808.1,1816.15,1789.05,1803.15,147381
2024-02-02 00:00:00+05:30,1807.0,1849.9,1800.3,1846.55,120945
2024-02-05 00:00:00+05:30,1855.0,1862.8,1770.75,1776.7,292810
2024-02-06 00:00:00+05:30,1781.0,1802.95,1759.3,1797.95,111679
2024-02-07 00:00:00+05:30,1813.0,1823.0,1777.8,1791.65,95380
2024-02-08 00:00:00+05:30,1799.95,1802.45,1739.85,1756.15,115705
2024-02-09 00:00:00+05:30,1770.0,1825.15,1745.65,1776.75,691104
2024-02-12 00:00:00+05:30,1767.0,1772.3,1710.05,1726.9,301746
2024-02-13 00:00:00+05:30,1724.7,1746.25,1708.0,1737.75,186072
2024-02-14 00:00:00+05:30,1726.0,1743.15,1718.1,1731.5,78139
2024-02-15 00:00:00+05:30,1734.0,1771.45,1728.15,1763.95,134566
2024-02-16 00:00:00+05:30,1768.3,1777.85,1723.35,1733.9,196409
2024-02-19 00:00:00+05:30,1748.0,1772.6,1739.05,1765.95,97509
2024-02-20 00:00:00+05:30,1765.0,1765.0,1720.0,1729.9,58705
2024-02-21 00:00:00+05:30,1730.85,1742.0,1712.75,1720.1,67518
2024-02-22 00:00:00+05:30,1720.15,1736.0,1706.15,1732.8,115018
2024-02-23 00:00:00+05:30,1732.75,1736.9,1708.0,1714.9,103919
2024-02-26 00:00:00+05:30,1714.95,1725.9,1693.5,1706.85,134808
2024-02-27 00:00:00+05:30,1714.4,1714.4,1686.0,1688.5,97529
2024-02-28 00:00:00+05:30,1693.95,1699.7,1647.25,1661.2,94333
2024-02-29 00:00:00+05:30,1661.2,1706.75,1650.0,1697.2,137645
2024-03-01 00:00:00+05:30,1697.15,1713.05,1692.95,1698.9,62449
2024-03-02 00:00:00+05:30,1698.95,1712.5,1696.35,1707.7,6315
2024-03-04 00:00:00+05:30,1707.7,1717.35,1693.0,1713.15,135506
2024-03-05 00:00:00+05:30,1713.1,1716.5,1693.35,1703.2,115089
2024-03-06 00:00:00+05:30,1705.95,1719.75,1673.9,1714.05,142810
2024-03-07 00:00:00+05:30,1721.0,1725.0,1695.0,1699.35,83909
2024-03-11 00:00:00+05:30,1715.3,1715.3,1678.4,1699.25,139865
2024-03-12 00:00:00+05:30,1715.0,1750.0,1692.55,1718.25,688104
2024-03-13 00:00:00+05:30,1719.85,1745.3,1680.1,1687.85,380387
2024-03-14 00:00:00+05:30,1687.85,1735.0,1666.6,1722.55,170937
2024-03-15 00:00:00+05:30,1722.55,1745.95,1696.25,1738.5,272331
2024-03-18 00:00:00+05:30,1750.0,1750.25,1686.25,1731.2,152191
2024-03-19 00:00:00+05:30,1730.0,1730.0,1667.15,1687.25,192237
2024-03-20 00:00:00+05:30,1700.0,1725.05,1681.0,1713.15,186459
2024-03-21 00:00:00+05:30,1719.7,1725.0,1703.4,1720.7,108867
2024-03-22 00:00:00+05:30,1718.05,1740.9,1711.55,1730.55,237277
2024-03-26 00:00:00+05:30,1724.0,1736.65,1702.0,1712.9,159064
2024-03-27 00:00:00+05:30,1705.0,1716.4,1688.05,1697.55,270850
2024-03-28 00:00:00+05:30,1693.05,1744.6,1688.7,1735.95,144921
2024-04-01 00:00:00+05:30,1760.0,1788.25,1736.0,1779.55,245203
2024-04-02 00:00:00+05:30,1774.0,1824.9,1773.35,1804.75,345100
2024-04-03 00:00:00+05:30,1811.45,1826.8,1773.05,1801.75,344673
2024-04-04 00:00:00+05:30,1812.0,1812.0,1774.15,1781.0,574579
2024-04-05 00:00:00+05:30,1786.1,1820.45,1769.0,1806.85,547860
2024-04-08 00:00:00+05:30,1812.35,1848.9,1793.85,1836.75,418716
2024-04-09 00:00:00+05:30,1845.5,1853.8,1796.3,1824.7,634094
2024-04-10 00:00:00+05:30,1825.0,1852.0,1801.0,1840.85,288958
2024-04-12 00:00:00+05:30,1838.9,1864.05,1824.25,1850.4,385699
2024-04-15 00:00:00+05:30,1813.3,1878.35,1813.3,1848.35,358265
2024-04-16 00:00:00+05:30,1844.65,1857.45,1831.7,1853.55,244412
2024-04-18 00:00:00+05:30,1864.5,1864.5,1830.0,1840.75,152768
2024-04-19 00:00:00+05:30,1839.9,1849.25,1825.2,1834.0,108830
2024-04-22 00:00:00+05:30,1837.0,1859.7,1835.8,1853.85,112922
2024-04-23 00:00:00+05:30,1847.05,1868.95,1837.05,1860.2,133309
2024-04-24 00:00:00+05:30,1872.45,2046.2,1855.1,2030.95,2492686
2024-04-25 00:00:00+05:30,2022.4,2106.0,2012.0,2022.35,1441742
2024-04-26 00:00:00+05:30,2012.05,2062.55,1978.0,2045.55,416180
2024-04-29 00:00:00+05:30,2057.15,2074.0,2018.65,2038.25,332961
2024-04-30 00:00:00+05:30,2043.25,2055.35,2026.4,2037.9,359413
2024-05-02 00:00:00+05:30,2037.9,2073.45,2027.75,2053.7,304045
2024-05-03 00:00:00+05:30,2065.0,2070.55,1992.3,2039.1,428648
2024-05-06 00:00:00+05:30,2046.4,2046.4,1961.0,1984.7,500431
2024-05-07 00:00:00+05:30,2000.0,2024.65,1965.75,2005.25,383461
2024-05-08 00:00:00+05:30,1960.0,2039.4,1938.55,2015.75,1343822
2024-05-09 00:00:00+05:30,2010.0,2010.0,1902.35,1910.7,691969
2024-05-10 00:00:00+05:30,1912.7,1947.6,1901.1,1919.3,180121
2024-05-13 00:00:00+05:30,1919.05,1951.45,1885.55,1946.35,149030
2024-05-14 00:00:00+05:30,1946.35,1958.9,1902.35,1915.2,184543
2024-05-15 00:00:00+05:30,1925.1,1930.0,1880.7,1887.2,129015
2024-05-16 00:00:00+05:30,1887.55,1905.8,1887.05,1899.8,270122
2024-05-17 00:00:00+05:30,1906.15,1931.6,1886.5,1928.05,220911
2024-05-18 00:00:00+05:30,1933.0,1944.9,1912.0,1922.7,14288
2024-05-21 00:00:00+05:30,1925.0,1925.0,1867.2,1893.55,376575
2024-05-22 00:00:00+05:30,1891.95,1897.5,1845.3,1879.45,352309
2024-05-23 00:00:00+05:30,1893.3,1893.3,1870.0,1879.8,110841
2024-05-24 00:00:00+05:30,1879.8,1884.0,1857.1,1874.6,333393
2024-05-27 00:00:00+05:30,1874.65,1886.85,1857.15,1867.35,158725
2024-05-28 00:00:00+05:30,1871.1,1885.0,1848.45,1867.3,132590
2024-05-29 00:00:00+05:30,1865.05,1883.0,1851.6,1877.75,177400
2024-05-30 00:00:00+05:30,1860.1,1870.0,1830.1,1840.85,171464
2024-05-31 00:00:00+05:30,1852.0,1876.8,1840.55,1860.4,205198
2024-06-03 00:00:00+05:30,1890.5,1894.0,1857.35,1876.3,163910
2024-06-04 00:00:00+05:30,1888.95,1979.1,1830.6,1925.75,910113
2024-06-05 00:00:00+05:30,1930.0,2070.0,1925.5,2016.65,852233
2024-06-06 00:00:00+05:30,2019.95,2046.0,1965.65,2035.6,261573
2024-06-07 00:00:00+05:30,2045.0,2100.0,2042.1,2071.1,279780
2024-06-10 00:00:00+05:30,2075.0,2152.95,2075.0,2146.3,348493
2024-06-11 00:00:00+05:30,2158.75,2173.5,2135.1,2139.95,180921
2024-06-12 00:00:00+05:30,2139.95,2182.45,2111.6,2129.5,234585
2024-06-13 00:00:00+05:30,2129.6,2142.35,2115.0,2118.3,84849
2024-06-14 00:00:00+05:30,2131.05,2134.6,2097.35,2109.1,148313
2024-06-18 00:00:00+05:30,2100.3,2118.1,2080.0,2092.95,315481
2024-06-19 00:00:00+05:30,2104.1,2117.15,2065.25,2095.95,135847
2024-06-20 00:00:00+05:30,2117.15,2123.35,2082.9,2090.4,214763
2024-06-21 00:00:00+05:30,2090.05,2099.3,2062.15,2066.9,150469
2024-06-24 00:00:00+05:30,2069.0,2092.25,2037.05,2082.3,178548
2024-06-25 00:00:00+05:30,2085.05,2086.6,1991.0,1996.0,550763
2024-06-26 00:00:00+05:30,1983.5,2011.0,1957.1,1964.1,420755
2024-06-27 00:00:00+05:30,1964.1,1999.65,1964.1,1990.7,186125
2024-06-28 00:00:00+05:30,1995.0,2004.95,1975.55,1986.05,108371
2024-07-01 00:00:00+05:30,1997.95,2022.0,1972.8,2009.6,132347
2024-07-02 00:00:00+05:30,2022.0,2044.0,2001.3,2031.5,192997
2024-07-03 00:00:00+05:30,2050.0,2052.9,2029.0,2035.8,139825
2024-07-04 00:00:00+05:30,2038.0,2045.85,2005.4,2012.0,90734
2024-07-05 00:00:00+05:30,2020.0,2123.4,2016.5,2072.6,907664
2024-07-08 00:00:00+05:30,2087.4,2133.7,2070.0,2110.95,443325
2024-07-09 00:00:00+05:30,2112.95,2125.9,2092.5,2102.05,226023
2024-07-10 00:00:00+05:30,2104.9,2120.35,2068.45,2090.45,110845
2024-07-11 00:00:00+05:30,2110.0,2110.0,2043.1,2079.35,240933
2024-07-12 00:00:00+05:30,2086.0,2087.55,2058.05,2065.1,72203
2024-07-15 00:00:00+05:30,2071.3,2076.45,2025.0,2068.3,174900
2024-07-16 00:00:00+05:30,2074.5,2136.45,2067.8,2082.9,654117
2024-07-18 00:00:00+05:30,2085.0,2100.0,2073.05,2091.9,383907
2024-07-19 00:00:00+05:30,2102.4,2103.2,2029.2,2040.85,280420
2024-07-22 00:00:00+05:30,2040.85,2050.0,2012.4,2014.75,291928
2024-07-23 00:00:00+05:30,2020.0,2038.9,1979.3,2023.35,376361
2024-07-24 00:00:00+05:30,2020.0,2040.6,1998.05,2019.9,314716
2024-07-25 00:00:00+05:30,2005.0,2150.0,1999.95,2109.25,419567
2024-07-26 00:00:00+05:30,2135.0,2135.0,2025.0,2037.0,1027129
2024-07-29 00:00:00+05:30,2044.0,2046.75,1968.0,1996.3,664660
2024-07-30 00:00:00+05:30,2004.9,2025.0,1991.0,2015.85,541364
2024-07-31 00:00:00+05:30,2028.5,2028.5,1995.05,2015.0,452567
2024-08-01 00:00:00+05:30,2014.9,2042.95,1998.95,2001.4,532595
2024-08-02 00:00:00+05:30,1998.0,2032.7,1981.35,1997.65,258639
2024-08-05 00:00:00+05:30,1964.7,1988.0,1935.75,1952.9,230467
2024-08-06 00:00:00+05:30,1972.0,2010.0,1953.6,1983.8,331470
2024-08-07 00:00:00+05:30,2010.0,2010.0,1959.0,1965.4,356103
2024-08-08 00:00:00+05:30,1972.0,1975.35,1935.0,1945.35,210198
2024-08-09 00:00:00+05:30,1960.5,1961.5,1921.0,1945.45,303629
2024-08-12 00:00:00+05:30,1945.45,1945.45,1901.8,1922.1,147990
2024-08-13 00:00:00+05:30,1924.0,1932.3,1901.0,1904.75,207720
2024-08-14 00:00:00+05:30,1914.8,1919.25,1888.0,1891.5,117154
2024-08-16 00:00:00+05:30,1904.15,1976.3,1900.05,1971.75,312571
2024-08-19 00:00:00+05:30,1985.0,2027.0,1965.0,1988.5,683150
2024-08-20 00:00:00+05:30,1989.9,1989.9,1934.25,1937.7,372747
2024-08-21 00:00:00+05:30,1958.7,2015.05,1945.55,2010.3,331017
2024-08-22 00:00:00+05:30,2025.0,2053.8,2010.3,2024.55,257739
2024-08-23 00:00:00+05:30,2032.2,2035.2,1992.55,2004.8,276279
2024-08-26 00:00:00+05:30,2009.9,2020.75,1988.2,2008.05,123130
2024-08-27 00:00:00+05:30,2010.0,2037.95,1998.55,2031.7,185861
2024-08-28 00:00:00+05:30,2031.0,2041.0,2026.3,2030.2,290995
2024-08-29 00:00:00+05:30,2034.0,2052.95,2017.15,2034.55,288803
2024-08-30 00:00:00+05:30,2035.0,2085.0,2028.55,2050.45,650616
2024-09-02 00:00:00+05:30,2060.9,2060.9,2016.3,2030.5,212638
2024-09-03 00:00:00+05:30,2043.95,2047.5,2009.7,2015.6,151614
2024-09-04 00:00:00+05:30,2020.0,2043.7,2006.15,2026.8,450358
2024-09-05 00:00:00+05:30,2039.0,2053.7,2026.55,2030.2,503253
2024-09-06 00:00:00+05:30,2038.0,2047.05,2005.3,2009.8,96860
2024-09-09 00:00:00+05:30,2017.0,2076.7,2003.05,2066.7,333356
2024-09-10 00:00:00+05:30,2069.0,2091.2,2061.7,2079.15,159048
2024-09-11 00:00:00+05:30,2067.15,2095.45,2063.1,2081.05,173083
2024-09-12 00:00:00+05:30,2088.7,2094.9,2064.05,2083.1,102426
2024-09-13 00:00:00+05:30,2090.0,2090.0,2061.05,2080.15,120973
2024-09-16 00:00:00+05:30,2089.0,2118.95,2076.0,2115.0,279881
2024-09-17 00:00:00+05:30,2126.0,2128.0,2080.0,2086.2,209411
2024-09-18 00:00:00+05:30,2100.0,2104.4,2017.5,2049.2,258860
2024-09-19 00:00:00+05:30,2077.8,2150.0,2076.0,2130.5,1263253
2024-09-20 00:00:00+05:30,2139.5,2139.5,2057.05,2089.75,575889
2024-09-23 00:00:00+05:30,2092.0,2162.9,2074.7,2144.05,330927
2024-09-24 00:00:00+05:30,2158.0,2162.0,2124.5,2154.75,235451
2024-09-25 00:00:00+05:30,2172.0,2180.0,2110.8,2130.15,399057
2024-09-26 00:00:00+05:30,2139.2,2169.55,2126.3,2156.8,198480
2024-09-27 00:00:00+05:30,2173.0,2204.9,2152.05,2180.9,901729
2024-09-30 00:00:00+05:30,2180.0,2196.15,2168.0,2175.45,138230
2024-10-01 00:00:00+05:30,2181.0,2186.4,2149.7,2163.35,138743
2024-10-03 00:00:00+05:30,2140.05,2172.45,2118.5,2147.35,217965
2024-10-04 00:00:00+05:30,2133.2,2163.95,2099.25,2105.1,94440
2024-10-07 00:00:00+05:30,2105.85,2119.5,2054.55,2068.1,295547
2024-10-08 00:00:00+05:30,2062.0,2125.0,2050.0,2117.15,145649
2024-10-09 00:00:00+05:30,2130.15,2141.15,2092.85,2099.4,179172
2024-10-10 00:00:00+05:30,2112.0,2114.55,2056.75,2084.85,147981
2024-10-11 00:00:00+05:30,2085.55,2105.0,2074.9,2085.95,76300
2024-10-14 00:00:00+05:30,2096.85,2096.85,2064.1,2083.6,159922
2024-10-15 00:00:00+05:30,2081.0,2102.5,2055.4,2069.35,188792
2024-10-16 00:00:00+05:30,2075.3,2084.5,2002.5,2028.65,257770
2024-10-17 00:00:00+05:30,2039.0,2042.7,1975.0,1982.6,210804
2024-10-18 00:00:00+05:30,1979.8,1982.7,1961.1,1976.55,182227
2024-10-21 00:00:00+05:30,1986.4,1993.15,1945.0,1967.35,143415
2024-10-22 00:00:00+05:30,1964.15,1967.05,1925.5,1938.05,187739
2024-10-23 00:00:00+05:30,1938.05,2022.0,1915.55,1990.7,409293
2024-10-24 00:00:00+05:30,2004.0,2052.0,1938.05,1978.45,169580
2024-10-25 00:00:00+05:30,2020.05,2021.45,1906.7,1983.6,693861
2024-10-28 00:00:00+05:30,1970.0,1971.5,1905.25,1929.45,265451
2024-10-29 00:00:00+05:30,1931.3,1936.3,1896.0,1931.05,234692
2024-10-30 00:00:00+05:30,1935.0,1944.75,1914.05,1929.3,178661
2024-10-31 00:00:00+05:30,1930.0,1939.95,1901.9,1921.55,279005
2024-11-01 00:00:00+05:30,1922.0,1943.1,1920.0,1936.3,9825
2024-11-04 00:00:00+05:30,1930.0,1930.0,1903.3,1921.0,198985
2024-11-05 00:00:00+05:30,1921.0,1962.0,1912.65,1951.0,121442
2024-11-06 00:00:00+05:30,1957.55,1986.15,1941.85,1975.25,261150
2024-11-07 00:00:00+05:30,1980.0,1980.0,1925.0,1935.0,246231
2024-11-08 00:00:00+05:30,1937.0,1943.0,1916.4,1925.5,207680
2024-11-11 00:00:00+05:30,1924.05,1934.5,1900.25,1911.8,111000
2024-11-12 00:00:00+05:30,1905.8,1924.0,1873.0,1882.45,285470
2024-11-13 00:00:00+05:30,1881.0,1888.95,1850.1,1856.4,67083
2024-11-14 00:00:00+05:30,1855.0,1890.55,1852.15,1883.55,294046
2024-11-18 00:00:00+05:30,1871.0,1887.95,1835.05,1883.6,125003
2024-11-19 00:00:00+05:30,1870.65,1898.45,1843.6,1853.8,192913
2024-11-21 00:00:00+05:30,1859.0,1860.2,1810.0,1827.95,286533
2024-11-22 00:00:00+05:30,1827.25,1870.85,1824.05,1859.85,292335
2024-11-25 00:00:00+05:30,1878.3,1914.25,1867.55,1897.15,165597
2024-11-26 00:00:00+05:30,1897.15,1920.95,1883.3,1903.25,120398
2024-11-27 00:00:00+05:30,1911.6,1942.55,1881.0,1926.1,136934
2024-11-28 00:00:00+05:30,1934.9,1955.85,1921.6,1933.35,301005
2024-11-29 00:00:00+05:30,1934.7,1957.0,1929.05,1950.5,131271
2024-12-02 00:00:00+05:30,1961.9,1964.15,1937.65,1960.65,99312
2024-12-03 00:00:00+05:30,1958.0,1961.25,1941.95,1955.85,84649
2024-12-04 00:00:00+05:30,1964.0,1973.0,1931.15,1953.1,63446
2024-12-05 00:00:00+05:30,1950.3,1972.9,1945.0,1965.8,102767
2024-12-06 00:00:00+05:30,1966.0,1981.0,1960.0,1968.55,87133
2024-12-09 00:00:00+05:30,1968.55,1971.35,1948.05,1958.35,54347
2024-12-10 00:00:00+05:30,1958.35,2007.5,1955.15,1994.55,230065
2024-12-11 00:00:00+05:30,2004.0,2020.95,1976.45,1985.45,176044
2024-12-12 00:00:00+05:30,1983.0,1992.9,1967.6,1970.25,81524
2024-12-13 00:00:00+05:30,1955.6,2005.0,1955.6,1992.4,294410
2024-12-16 00:00:00+05:30,2000.0,2022.75,1990.0,1999.0,307402
2024-12-17 00:00:00+05:30,1997.2,2025.0,1994.7,2014.4,272704
2024-12-18 00:00:00+05:30,2026.45,2027.35,1990.05,2016.45,260981
2024-12-19 00:00:00+05:30,2013.0,2034.1,2000.0,2020.1,206620
2024-12-20 00:00:00+05:30,2023.0,2049.7,2015.05,2025.35,218386
2024-12-23 00:00:00+05:30,2038.3,2041.15,1989.1,1999.35,168751
2024-12-24 00:00:00+05:30,1998.9,2068.55,1978.85,2052.75,281552
2024-12-26 00:00:00+05:30,2064.2,2064.2,2004.6,2015.1,239507
2024-12-27 00:00:00+05:30,2015.1,2047.0,2012.8,2030.15,154132
2024-12-30 00:00:00+05:30,2035.0,2051.95,2018.5,2035.4,56673
2024-12-31 00:00:00+05:30,2035.4,2047.75,2025.6,2037.0,121138
2025-01-01 00:00:00+05:30,2047.0,2097.25,2038.55,2092.4,164563
2025-01-02 00:00:00+05:30,2093.0,2142.45,2069.8,2136.65,256463
2025-01-03 00:00:00+05:30,2130.0,2147.55,2116.8,2128.1,149472
2025-01-06 00:00:00+05:30,2101.0,2134.0,2040.0,2075.75,117565
2025-01-07 00:00:00+05:30,2055.0,2100.0,2055.0,2075.35,73329
2025-01-08 00:00:00+05:30,2080.0,2084.25,1919.2,2000.8,1198258
2025-01-09 00:00:00+05:30,1991.1,2035.65,1979.95,2023.45,344496
2025-01-10 00:00:00+05:30,2013.35,2045.0,1980.75,2029.5,123973
2025-01-13 00:00:00+05:30,2012.0,2018.45,1935.45,1944.45,165906
2025-01-14 00:00:00+05:30,1931.0,1983.8,1930.0,1965.3,210753
2025-01-15 00:00:00+05:30,1983.1,1983.1,1935.3,1948.3,89650
2025-01-16 00:00:00+05:30,1947.85,1963.0,1911.35,1929.7,90256
2025-01-17 00:00:00+05:30,1932.0,1960.0,1922.25,1951.3,117060
2025-01-20 00:00:00+05:30,1959.8,2075.0,1951.55,2059.4,932221
2025-01-21 00:00:00+05:30,2060.6,2118.9,2055.4,2064.5,482072
2025-01-22 00:00:00+05:30,2055.0,2084.65,1990.0,2064.0,156388
2025-01-23 00:00:00+05:30,2058.55,2081.7,2038.6,2073.75,150061
2025-01-24 00:00:00+05:30,2084.1,2084.1,2053.7,2064.85,107086
2025-01-27 00:00:00+05:30,2068.0,2068.0,2012.7,2024.4,97337
2025-01-28 00:00:00+05:30,2020.0,2070.0,1986.3,2030.45,155791
2025-01-29 00:00:00+05:30,2030.0,2081.5,2027.05,2073.2,118239
2025-01-30 00:00:00+05:30,2073.25,2139.75,2064.65,2124.4,238369
2025-01-31 00:00:00+05:30,2124.4,2164.65,2115.7,2146.0,234243
2025-02-01 00:00:00+05:30,2139.0,2260.25,2057.5,2235.8,929822
2025-02-03 00:00:00+05:30,2235.95,2299.7,2166.5,2192.7,816037
2025-02-04 00:00:00+05:30,2192.05,2192.05,2113.05,2130.0,268221
2025-02-05 00:00:00+05:30,2129.0,2137.5,2049.0,2058.45,398342
2025-02-06 00:00:00+05:30,2078.0,2088.0,2035.35,2073.0,265739
2025-02-07 00:00:00+05:30,2074.0,2076.1,2035.0,2048.65,164882
2025-02-10 00:00:00+05:30,2045.05,2076.8,2041.8,2055.45,74532
2025-02-11 00:00:00+05:30,2057.95,2090.9,2014.55,2023.3,420130
2025-02-12 00:00:00+05:30,2046.8,2098.5,2032.05,2057.3,1175662
2025-02-13 00:00:00+05:30,2058.05,2064.55,2007.0,2030.25,322310
2025-02-14 00:00:00+05:30,2040.0,2166.0,2013.05,2040.6,2023122
2025-02-17 00:00:00+05:30,2000.0,2069.0,1999.05,2028.15,564875
2025-02-18 00:00:00+05:30,2050.0,2050.0,2017.55,2022.8,281591
2025-02-19 00:00:00+05:30,2020.0,2049.0,2000.35,2027.2,329993
2025-02-20 00:00:00+05:30,2020.25,2050.95,2003.0,2028.2,213767
2025-02-21 00:00:00+05:30,2028.2,2044.9,2012.05,2019.4,194876
2025-02-24 00:00:00+05:30,2015.05,2071.75,2009.45,2035.1,315107
2025-02-25 00:00:00+05:30,2040.0,2060.0,2020.75,2038.55,891431
2025-02-27 00:00:00+05:30,2041.35,2066.9,1960.0,2006.85,407862
2025-02-28 00:00:00+05:30,1971.55,1979.6,1919.0,1946.15,144303
2025-03-03 00:00:00+05:30,1949.9,1949.9,1868.0,1912.85,135894
2025-03-04 00:00:00+05:30,1908.0,1927.0,1876.0,1912.8,146370
2025-03-05 00:00:00+05:30,1910.0,1910.0,1877.4,1890.95,193727
2025-03-06 00:00:00+05:30,1904.1,1933.6,1886.65,1899.65,248614
2025-03-07 00:00:00+05:30,1914.4,1931.65,1848.0,1922.3,176597
2025-03-10 00:00:00+05:30,1946.95,1949.95,1882.45,1900.55,170472
2025-03-11 00:00:00+05:30,1880.0,1895.0,1852.35,1878.3,157995
2025-03-12 00:00:00+05:30,1878.95,1955.0,1878.95,1904.95,130849
2025-03-13 00:00:00+05:30,1927.75,1935.0,1895.6,1911.65,95875
2025-03-17 00:00:00+05:30,1927.3,1927.45,1870.15,1884.75,69289
2025-03-18 00:00:00+05:30,1890.65,1909.95,1884.05,1899.75,69666
2025-03-19 00:00:00+05:30,1911.35,1928.0,1884.6,1905.55,296933
